title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
Madame Web,2024.0,PG,1h 56m,3.8,28K,Action|Adventure|Sci-Fi,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
Borderlands,2024.0,,1h 42m,,,Action|Adventure|Comedy,The popular video game set on the abandoned fictional planet of Pandora where people search for a mysterious relic.
Oppenheimer,2023.0,14A,3h,8.4,654K,Biography|Drama|History,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Dune: Part Two,2024.0,PG,2h 46m,9.1,28K,Action|Adventure|Drama,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Poor Things,2023.0,18A,2h 21m,8.3,115K,Comedy|Drama|Romance,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Anyone But You,2023.0,14A,1h 43m,6.3,41K,Comedy|Romance,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a lesbian wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
The Zone of Interest,2023.0,PG,1h 45m,7.6,36K,Drama|History|War,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
Dune,2021.0,PG,2h 35m,8.0,773K,Action|Adventure|Drama,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Bob Marley: One Love,2024.0,PG,1h 47m,6.5,11K,Biography|Drama|Music,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
Land of Bad,2024.0,14A,1h 53m,6.5,7.6K,Action|Thriller,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
Deadpool & Wolverine,2024.0,,,,,Action|Comedy|Sci-Fi,The irresponsible hero Deadpool will change the history of the MCU with Wolverine!?
Saltburn,2023.0,18A,2h 11m,7.0,181K,Comedy|Drama|Thriller,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
The Iron Claw,2023.0,14A,2h 12m,7.8,38K,Biography|Drama|Sport,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Argylle,2024.0,PG,2h 19m,6.0,28K,Action|Thriller,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time."
One Day,2011.0,PG,1h 47m,7.0,165K,Drama|Romance,"After spending the night together on the eve of their college graduation, Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, and sometimes not."
The Holdovers,2023.0,14A,2h 13m,8.0,106K,Comedy|Drama,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.
The Beekeeper,2024.0,14A,1h 45m,6.4,59K,Action|Thriller,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers""."
All of Us Strangers,2023.0,14A,1h 45m,7.8,26K,Drama|Fantasy|Romance,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
Thanksgiving,2023.0,18A,1h 46m,6.3,40K,Horror|Mystery|Thriller,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday."
Miller's Girl,2024.0,R,1h 33m,5.2,5.1K,Comedy|Drama,A creative writing assignment yields complex results between a teacher and his talented student.
Anatomy of a Fall,2023.0,14A,2h 31m,7.8,75K,Crime|Drama|Thriller,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
Upgraded,2024.0,R,1h 44m,6.1,12K,Comedy|Romance,"When Ana is upgraded to first class on a work trip, she meets handsome Will, who mistakes Ana for her boss, Claire. A white lie then sets off a glamorous chain of events, romance and opportunity, until her fib threatens to surface."
Drive-Away Dolls,2024.0,14A,1h 24m,6.1,3.2K,Action|Comedy|Thriller,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
Mean Girls,2024.0,PG,1h 52m,5.9,18K,Comedy|Musical,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
This Is Me,2024.0,16+,1h 5m,4.6,3.4K,Music|Musical,"Coinciding with the release of her album of the same name, this narrative-driven odyssey tells the story of Jennifer Lopez's journey to love through her own eyes."
Killers of the Flower Moon,2023.0,14A,3h 26m,7.7,211K,Crime|Drama|History,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Players,2024.0,TV-MA,1h 45m,5.6,6.1K,Comedy|Romance,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
American Fiction,2023.0,14A,1h 57m,7.6,33K,Comedy|Drama,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.
Wonka,2023.0,PG,1h 56m,7.1,101K,Adventure|Comedy|Family,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
The Marvels,2023.0,PG,1h 45m,5.6,112K,Action|Adventure|Fantasy,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe."
The Abyss,2023.0,,1h 43m,5.3,4.9K,Action|Drama|Thriller,"Frigga, who tries to balance her risky job as a security manager in the Kiirunavaara mine with her family life, has to fight for her life and the lives of her loved ones when her city starts collapsing into the mine."
Mission: Impossible - Dead Reckoning Part One,2023.0,PG,2h 43m,7.7,234K,Action|Adventure|Thriller,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Past Lives,2023.0,PG,1h 45m,7.9,93K,Drama|Romance,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Barbie,2023.0,PG,1h 54m,6.9,502K,Adventure|Comedy|Fantasy,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
Godzilla x Kong: The New Empire,2024.0,PG-13,,,,Action|Adventure|Sci-Fi,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Irish Wish,2024.0,,1h 33m,,,Comedy|Fantasy|Romance,"When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
Lisa Frankenstein,2024.0,14A,1h 41m,6.3,5.5K,Comedy|Horror|Romance,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
Society of the Snow,2023.0,R,2h 24m,7.8,110K,Adventure|Biography|Drama,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
No Way Up,2024.0,R,1h 30m,4.5,2.1K,Action|Adventure|Drama,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
